['37.7134245069231', '-122.386197558718', '0.312775330396476', '227\n']	Candlestick Parking Services	[u'parking', u'establishment']	Candlestick Park	[u'stadium', u'establishment']	49er Stadium Operations	[u'stadium', u'establishment']	
['37.7359103289552', '-122.479614740149', '0.340983606557377', '305\n']	Baby Steps	[u'school', u'establishment']	Concert Meadow	[u'establishment']	Trocadero Clubhouse	[u'establishment']	
['37.7691263923519', '-122.491847287434', '0.374707259953162', '427\n']	Golden Gate Park Polo Field	[u'establishment']	
['37.767891707828', '-122.493852085326', '0.379487179487179', '1170\n']	Golden Gate Park Polo Field	[u'establishment']	Polo Field Bathroom	[u'establishment']	
['37.7837507192366', '-122.409216623053', '0.467479674796748', '246\n']	Westfield San Francisco Centre	[u'shopping_mall', u'establishment']	The Warfield	[u'stadium', u'establishment']	Golden Gate Theatre	[u'establishment']	
['37.7714835859239', '-122.413845359049', '0.472022955523673', '697\n']	DNA Lounge	[u'night_club', u'bar', u'establishment']	Folsom Street Foundry	[u'food', u'bar', u'art_gallery', u'establishment']	Slim's	[u'night_club', u'bar', u'establishment']	
['37.7724039539851', '-122.42967852255', '0.473958333333333', '768\n']	Toronado	[u'bar', u'establishment']	Mad Dog in the Fog	[u'bar', u'restaurant', u'food', u'establishment']	Uva Enoteca	[u'bar', u'restaurant', u'food', u'establishment']	
['37.7689912090397', '-122.419340201358', '0.480206540447504', '581\n']	San Francisco Armory	[u'establishment']	Public Works	[u'establishment']	Brick & Mortar Music Hall	[u'night_club', u'bar', u'establishment']	
['37.763212861227', '-122.389217364386', '0.488226059654631', '637\n']	The Ramp	[u'bar', u'restaurant', u'food', u'establishment']	Moshi Moshi	[u'bar', u'restaurant', u'food', u'establishment']	Parties That Cook	[u'establishment']	
['37.7694258973718', '-122.484514157543', '0.496774193548387', '930\n']	Hellman Hollow	[u'establishment']	Speedway Meadow	[u'establishment']	Celtic Endurance	[u'establishment']	
['37.7897081061194', '-122.411831970821', '0.50185873605948', '538\n']	JW Marriott San Francisco Union Square	[u'lodging', u'establishment']	Marines' Memorial Theatre	[u'establishment']	Nob Hill Masonic Center	[u'establishment']	
['37.7712337842667', '-122.413453958667', '0.504950495049505', '303\n']	DNA Lounge	[u'night_club', u'bar', u'establishment']	Folsom Street Foundry	[u'food', u'bar', u'art_gallery', u'establishment']	Slim's	[u'night_club', u'bar', u'establishment']	
['37.7862246086274', '-122.408789661176', '0.507246376811594', '207\n']	Hilton San Francisco Union Square	[u'lodging', u'establishment']	The Westin St. Francis San Francisco on Union Square	[u'lodging', u'establishment']	Ruby Skye	[u'night_club', u'bar', u'establishment']	
['37.7683749408466', '-122.420343152487', '0.5078125', '384\n']	San Francisco Armory	[u'establishment']	Public Works	[u'establishment']	Brick & Mortar Music Hall	[u'night_club', u'bar', u'establishment']	
['37.7606796542219', '-122.42139319647', '0.512160228898426', '699\n']	826 Valencia	[u'establishment']	Friends of New College Llc	[u'establishment']	Borderlands Books	[u'book_store', u'store', u'establishment']	
['37.7716410227159', '-122.49454609623', '0.512269938650307', '326\n']	GuavaWorks Website Designs	[u'establishment']	SF Walk With Me	[u'establishment']	Nationwide Limousine Service	[u'establishment']	
